FID_1,Nat_EMIS_N,GIS_Long,GIS_Lat,SP_Name,Name,Sector,PASSRATE,Employed,Unemployed,Notactive,FemaleHead,african,Coloured,Indian,White,Owned,Telephone,Easting,Northing
37,105310269,18.458175,-34.015001,Plumstead,NORMAN,PUBLIC,100.0,45,4,21,31,2,19,3,76,68,89,-50047.867370,-3765457.773220
235,105062454,18.523128,-34.047489,Pelikan Park,PELIKAN PARK,PUBLIC,80.0,34,10,24,16,6,56,37,1,74,75,-44031.377634,-3769031.647450
224,105310279,18.484802,-34.021775,Plumstead,PLUMSTEAD,PUBLIC,94.1,45,4,21,31,2,19,3,76,68,89,-47584.550578,-3766196.483240
223,105319228,18.472583,-34.013959,Wynberg,IMMACULATA RK,PUBLIC,96.4,43,6,22,31,7,50,13,30,51,83,-48717.594739,-3765335.242910
237,105313890,18.523293,-34.043378,Lotus River,ZEEKOEVLEI,PUBLIC,44.6,34,10,24,28,1,98,1,0,63,72,-44018.266589,-3768575.565230
38,105000935,18.457774,-34.003507,Wynberg,SPRINGFIELD,INDEPENDENT,100.0,43,6,22,31,7,50,13,30,51,83,-50091.656709,-3764183.003870
229,105313696,18.478750,-34.013196,Wynberg,WYNBERG,PUBLIC,67.2,43,6,22,31,7,50,13,30,51,83,-48148.372700,-3765247.691360
39,105007428,18.470854,-34.008762,Wynberg,SHILOAH,INDEPENDENT,100.0,43,6,22,31,7,50,13,30,51,83,-48880.282529,-3764759.592690
226,105313424,18.474666,-34.008444,Wynberg,WITTEBOME,PUBLIC,83.8,43,6,22,31,7,50,13,30,51,83,-48528.323159,-3764722.506280
262,105003392,18.478161,-34.010300,Wynberg,JOHN WYCLIFFE,INDEPENDENT,50.0,43,6,22,31,7,50,13,30,51,83,-48204.416383,-3764926.731530
227,105310318,18.458163,-33.996268,Wynberg,WYNBERG BOYS,PUBLIC,100.0,43,6,22,31,7,50,13,30,51,83,-50059.966333,-3763379.833030
234,105493341,18.511226,-34.027035,Lotus River,LOTUS,PUBLIC,100.0,34,10,24,27,1,98,1,0,64,68,-45141.177609,-3766767.981180
228,105310321,18.463771,-34.002830,Wynberg,WYNBERG GIRLS,PUBLIC,100.0,43,6,22,31,7,50,13,30,51,83,-49538.031705,-3764104.992130
40,105006043,18.519507,-34.030016,Lotus River,AL-AZHAR,INDEPENDENT,94.1,34,10,24,27,1,98,1,0,64,68,-44374.790426,-3767094.980480
67,105310311,18.471731,-33.999646,Kenilworth,VOORTREKKER,PUBLIC,97.8,51,3,19,39,12,16,4,68,56,82,-48804.482253,-3763747.989150
1,105000844,18.463429,-33.986916,Claremont,HERSCHEL,INDEPENDENT,100.0,49,2,22,34,6,9,4,82,67,92,-49578.843112,-3762339.878020
41,105008291,18.515100,-34.011223,Athlone SP,CHRISTEL HOUSE SOU,INDEPENDENT,100.0,43,4,20,19,3,48,11,38,76,90,-44791.692314,-3765012.346030
42,105008330,18.517023,-34.009164,Wetton,THE ORACLE,INDEPENDENT,94.4,43,4,20,19,3,48,11,38,76,90,-44615.134239,-3764783.114130
45,105000798,18.471393,-33.984665,Claremont,ABBOTT'S,INDEPENDENT,98.9,49,2,22,34,6,9,4,82,67,92,-48844.280556,-3762086.397330
53,105313343,18.474931,-33.984486,Claremont,LIVINGSTONE,PUBLIC,97.6,49,2,22,34,6,9,4,82,67,92,-48517.460944,-3762064.861610
55,105313432,18.493575,-33.989861,Romp Vlei,OAKLANDS,PUBLIC,59.0,40,5,23,22,3,72,10,15,80,91,-46791.753578,-3762652.408610
52,105310240,18.471217,-33.974278,Newlands,GROOTE SCHUUR,PUBLIC,99.1,42,2,28,28,5,5,3,88,67,94,-48866.486562,-3760934.315670
61,105310296,18.462921,-33.975910,Newlands,SANS SOUCI,PUBLIC,100.0,42,2,28,28,5,5,3,88,67,94,-49632.205918,-3761119.328390
113,105007209,18.482631,-33.983204,Claremont,HERITAGE,INDEPENDENT,93.3,49,2,22,34,6,9,4,82,67,92,-47806.675423,-3761919.039240
62,105310293,18.458594,-33.971052,Newlands,S.A COLLEGE,PUBLIC,100.0,42,2,28,28,5,5,3,88,67,94,-50034.919904,-3760582.563870
51,105483443,18.518423,-33.998985,Yorkshire Estate,GROENVLEI,PUBLIC,74.8,40,5,23,22,3,72,10,15,80,91,-44491.115215,-3763653.410470
254,106493333,18.601301,-34.064688,Rocklands,CEDAR,PUBLIC,92.6,37,10,23,24,3,96,0,1,90,73,-36805.889167,-3770908.557430
252,106493449,18.595339,-34.050523,Westridge B,WESTRIDGE,PUBLIC,68.4,37,10,25,23,3,96,0,0,93,84,-37362.489291,-3769339.473680
68,105310316,18.464763,-33.969039,Rondebosch,WESTERFORD,PUBLIC,100.0,40,1,30,32,8,7,6,79,60,90,-49465.960920,-3760356.281290
12,105003386,18.497407,-33.985724,Lansdowne,ISLAMIA,INDEPENDENT,100.0,40,5,23,22,3,72,10,15,80,91,-46439.919116,-3762191.740910
69,105310317,18.500797,-33.986364,Lansdowne,WINDSOR,PUBLIC,95.6,40,5,23,22,3,72,10,15,80,91,-46126.351033,-3762261.234350
257,106493430,18.609021,-34.068850,Rocklands,GLENDALE,PUBLIC,55.8,37,10,23,24,3,96,0,1,90,73,-36091.448614,-3771367.474500
58,105310288,18.476767,-33.968290,Rondebosch,RONDEBOSCH BOYS',PUBLIC,100.0,40,1,30,32,8,7,6,79,60,90,-48356.977773,-3760267.473650
259,106493384,18.609194,-34.057854,Rocklands,ROCKLANDS,PUBLIC,93.5,37,10,23,24,3,96,0,1,90,73,-36080.138753,-3770147.687660
251,106493481,18.598938,-34.040633,Woodlands,PRINCETON,PUBLIC,85.0,30,14,23,31,4,96,0,0,73,66,-37034.489577,-3768241.124750
114,105313610,18.524749,-33.989917,Mountview,MOUNT VIEW,PUBLIC,66.7,34,6,31,32,1,75,24,0,73,85,-43911.339346,-3762644.825240
3,103000806,18.422571,-33.943301,Vredehoek,HERZLIA,INDEPENDENT,99.0,53,3,18,37,6,7,1,85,52,82,-53381.414668,-3757522.482400
245,106007098,18.570704,-34.018354,Weltevreden Valley Nort,SOPHUMELELA,PUBLIC,78.8,21,33,16,42,95,5,0,0,33,13,-39652.027101,-3765780.422590
4,103000818,18.416563,-33.941296,Oranjezicht,ST. CYPRIAN'S,INDEPENDENT,98.1,59,2,20,35,6,4,1,90,52,80,-53938.065056,-3757303.231350
0,105000876,18.478903,-33.963135,Rondebosch,DIOCESAN,INDEPENDENT,100.0,40,1,30,32,8,7,6,79,60,90,-48162.474093,-3759694.629690
260,106493422,18.620362,-34.060577,Rocklands,SPINE ROAD,PUBLIC,95.4,37,10,23,24,3,96,0,1,90,73,-35047.955827,-3770445.852410
258,106493368,18.616944,-34.055326,Portland,MONDALE,PUBLIC,87.0,37,10,22,25,1,98,1,0,92,77,-35365.686184,-3769864.564850
112,105313602,18.537621,-33.993218,Hanover Park,CRYSTAL,PUBLIC,48.5,24,16,23,45,1,99,0,0,26,52,-42720.354794,-3763005.543520
46,105483311,18.512441,-33.975773,Rustdale,ALEXANDER SINTON,PUBLIC,87.6,35,8,24,32,4,91,4,0,68,77,-45056.023231,-3761081.263750
253,106493457,18.594598,-34.032523,Woodlands,WOODLANDS,PUBLIC,67.0,30,14,23,31,4,96,0,0,73,66,-37438.815061,-3767343.109220
76,103310246,18.408375,-33.933575,Gardens,JAN VAN RIEBEECK,PUBLIC,100.0,52,4,20,37,9,9,1,81,43,80,-54700.025397,-3756451.116500
246,106007102,18.579619,-34.018169,Weltevreden Valley Nort,ZISUKHANYO,PUBLIC,57.0,25,28,16,44,80,19,0,0,59,35,-38828.669609,-3765756.485740
59,105310291,18.478521,-33.956757,Rosebank,RUSTENBURG,PUBLIC,100.0,40,1,30,32,8,7,6,79,60,90,-48201.376892,-3758987.367720
64,105000820,18.473996,-33.959832,Rondebosch,ST. JOSEPH'S,INDEPENDENT,93.9,40,1,30,32,8,7,6,79,60,90,-48617.887187,-3759330.592830
56,105008028,18.503800,-33.970165,Athlone,PREMIER COLLEGE,,59.7,37,7,24,35,2,92,5,0,75,85,-45857.568338,-3760463.036070
49,105000817,18.472307,-33.951852,Rosebank,DAMELIN,INDEPENDENT,94.9,28,2,59,39,22,6,5,67,31,73,-48778.554676,-3758446.226230
108,105483486,18.551866,-33.996010,Manenberg,MANENBERG,PUBLIC,59.0,24,19,22,54,5,95,0,0,32,51,-41402.858870,-3763309.395160
7,103313416,18.409865,-33.923828,Schotschekloof,VISTA,PUBLIC,65.7,49,2,22,30,4,6,0,90,69,92,-54568.478035,-3755369.153630
70,103310325,18.378287,-33.944025,Camps Bay,CAMPS BAY,PUBLIC,99.1,49,2,22,30,4,6,0,90,69,92,-57474.897250,-3757626.713530
47,105483362,18.519413,-33.972357,Belgravia,BELGRAVIA,PUBLIC,91.7,35,8,24,32,4,91,4,0,68,77,-44413.501109,-3760699.307330
54,105483516,18.508525,-33.968575,Zwartdam,NED DOMAN,PUBLIC,33.9,37,7,24,35,2,92,5,0,75,85,-45421.736860,-3760284.564810
50,105483435,18.496650,-33.962107,Athlone SP,GARLANDALE,PUBLIC,72.0,37,7,24,35,2,92,5,0,75,85,-46522.747151,-3759572.436070
256,106003396,18.624069,-34.056060,Eastridge,MITCHELL'S PLAIN,INDEPENDENT,76.9,29,15,23,43,4,96,0,0,75,63,-34707.567055,-3769943.543350
250,106493376,18.611266,-34.040323,Portland,PORTLAND,PUBLIC,69.3,37,10,22,25,1,98,1,0,92,77,-35896.232928,-3768202.346130
74,103310238,18.417144,-33.932848,Gardens,GOOD HOPE,PUBLIC,98.6,52,4,20,37,9,9,1,81,43,80,-53889.714947,-3756365.836260
80,105008275,18.504983,-33.961824,Athlone SP,STONEFOUNTAIN,INDEPENDENT,48.4,37,7,24,35,2,92,5,0,75,85,-45752.703495,-3759537.296050
83,103313335,18.428216,-33.933179,Zonnebloem,TRAFALGAR,PUBLIC,81.5,36,6,37,36,22,43,2,33,31,67,-52865.802109,-3756396.793610
84,103310328,18.439269,-33.933893,Zonnebloem,ZONNEBLOEM,PUBLIC,73.1,40,8,23,34,7,68,8,17,63,82,-51843.422547,-3756470.354530
75,103313378,18.424859,-33.931328,Zonnebloem,HAROLD CRESSY,PUBLIC,88.3,36,6,37,36,22,43,2,33,31,67,-53177.336895,-3756193.208830
2,103007511,18.433764,-33.933701,Cape Town CBD,Y2K,INDEPENDENT,77.3,36,6,37,36,22,43,2,33,31,67,-52352.529616,-3756451.808960
71,103310213,18.414887,-33.931889,Cape Town CBD,CAPE TOWN,PUBLIC,86.4,47,11,28,44,34,19,6,41,20,64,-54099.001883,-3756260.648120
73,103307200,18.416086,-33.930287,Cape Town CBD,GARDENS,PUBLIC,95.8,47,11,28,44,34,19,6,41,20,64,-53989.152914,-3756082.317610
82,105041120,18.471174,-33.945665,Mowbray,THANDOKHULU,PUBLIC,81.6,35,4,44,40,32,15,3,50,36,66,-48886.824799,-3757760.483370
44,106493317,18.607006,-34.029874,Lentegeur,ALOE,PUBLIC,50.8,30,13,25,30,3,97,0,0,82,67,-36294.059158,-3767044.803450
240,106323969,18.580654,-34.006583,Browns Farms,INTSEBENZISWANO,PUBLIC,60.0,21,33,16,42,95,5,0,0,33,13,-38738.332332,-3764470.931460
60,105062458,18.534984,-33.972465,Gatesville,RYLANDS,PUBLIC,93.7,37,6,28,24,2,22,76,0,70,87,-42974.438914,-3760704.651440
48,105008274,18.519829,-33.965283,Belgravia,CENTRAL COLLEGE,,57.1,35,8,24,32,4,91,4,0,68,77,-44378.730448,-3759914.455790
107,106042118,18.561672,-33.992976,Gugulethu SP,INTSHUKUMO,PUBLIC,47.8,24,26,19,56,99,1,0,0,65,52,-40498.320600,-3762968.934450
244,106041230,18.590026,-34.011582,Browns Farms,SINETHEMBA,PUBLIC,52.7,21,33,16,42,95,5,0,0,33,13,-37870.341073,-3765021.934230
104,105007063,18.540763,-33.978013,Surrey,DARUL ISLAM ISLAMI,INDEPENDENT,87.7,32,7,28,23,3,91,6,1,81,89,-42437.611903,-3761317.646720
261,106493414,18.634485,-34.055010,Tafelsig,TAFELSIG,PUBLIC,64.0,25,18,21,36,4,95,1,0,69,54,-33746.328246,-3769823.588380
248,106493392,18.610443,-34.029908,Lentegeur,LENTEGEUR,PUBLIC,69.1,30,13,25,30,3,97,0,0,82,67,-35976.626708,-3767047.361760
65,105007284,18.499509,-33.956302,Sybrandpark,STAR INTERNATIONAL,INDEPENDENT,100.0,44,2,21,21,8,43,11,38,89,97,-46261.640026,-3758927.233360
77,103310281,18.453389,-33.935342,Woodstock,QUEEN'S PARK,PUBLIC,72.7,40,8,23,34,7,68,8,17,63,82,-50537.060545,-3756624.039430
92,105483540,18.507600,-33.958200,Hazendal,SPES BONA,PUBLIC,49.6,28,13,25,43,2,96,2,0,69,57,-45512.750877,-3759134.145930
110,105483559,18.556843,-33.985428,Manenberg,SILVERSTREAM,PUBLIC,63.6,24,19,22,54,5,95,0,0,32,51,-40948.108694,-3762133.603180
57,105310284,18.480784,-33.944826,Mowbray,RHODES,PUBLIC,80.0,35,4,44,40,32,15,3,50,36,66,-47998.898967,-3757662.881590
63,103000819,18.479913,-33.946048,Mowbray,ST. GEORGE'S GRAMM,INDEPENDENT,96.7,35,4,44,40,32,15,3,50,36,66,-48078.732281,-3757798.837460
243,106008278,18.596074,-34.016003,Heinz Park,PHILLIPI,PUBLIC,40.2,21,33,16,42,95,5,0,0,33,13,-37309.734450,-3765510.108190
6,102000570,18.463849,-33.938129,Rosebank,ROSEMEADE,INDEPENDENT,60.0,45,5,33,42,17,14,3,66,40,79,-49568.352678,-3756928.080610
247,106493325,18.629361,-34.045381,Beacon Valley,BEACON HILL,PUBLIC,79.3,29,15,23,43,4,96,0,0,75,63,-34223.274914,-3768757.201480
86,105483346,18.521873,-33.962178,Silvertown,ATHLONE,PUBLIC,81.3,31,10,22,42,7,92,1,0,80,75,-44191.422371,-3759569.156610
81,105315611,18.389711,-33.915736,Sea Point,TAFELBERG,PUBLIC,90.9,49,4,19,42,13,9,2,76,45,81,-56437.425346,-3754482.470000
263,103000801,18.416960,-33.921830,Cape Town CBD,BOSTON HOUSE,INDEPENDENT,80.0,47,11,28,44,34,19,6,41,20,64,-53913.669057,-3755143.780440
239,106042101,18.574078,-33.996741,New Crossroads,SITHEMBELE MATISO,PUBLIC,28.6,19,28,22,51,100,0,0,0,35,38,-39350.352460,-3763381.727870
106,106042301,18.567748,-33.991137,Gugulethu SP,I. D. MKIZE SEN,PUBLIC,80.2,24,26,19,56,99,1,0,0,65,52,-39937.798717,-3762762.561700
78,103313459,18.462767,-33.935478,Observatory,SALT RIVER,PUBLIC,66.7,37,7,26,39,8,82,6,3,63,83,-49669.926439,-3756634.546630
109,105483494,18.556878,-33.978267,Manenberg,PHOENIX,PUBLIC,72.6,24,19,22,54,5,95,0,0,32,51,-40948.308347,-3761339.267350
43,106041343,18.601378,-34.008164,Philippi SP,VUYISEKA,PUBLIC,52.4,21,33,16,42,95,5,0,0,33,13,-36823.196900,-3764638.658430
249,106493503,18.631496,-34.037177,Beacon Valley,OVAL NORTH,PUBLIC,81.5,30,15,22,31,4,96,0,0,74,65,-34029.413241,-3767846.469120
79,103310297,18.392920,-33.910778,Sea Point,SEA POINT,PUBLIC,97.9,49,4,19,42,13,9,2,76,45,81,-56143.925306,-3753930.741520
105,106042201,18.569213,-33.984701,Gugulethu SP,FEZEKA,PUBLIC,75.4,24,26,19,56,99,1,0,0,65,52,-39805.440133,-3762048.089050
90,105483524,18.525464,-33.954756,Bridgetown,PEAK VIEW,PUBLIC,43.2,31,9,24,36,1,99,0,0,82,81,-43863.326147,-3758744.344010
8,105483397,18.530180,-33.958230,Bridgetown,BRIDGETOWN,PUBLIC,73.0,31,9,24,36,1,99,0,0,82,81,-43425.638036,-3759127.683990
91,103007340,18.532511,-33.953892,Bridgetown,OF HOPE,INDEPENDENT,33.3,31,9,24,36,1,99,0,0,82,81,-43212.364010,-3758645.478950
168,106042317,18.595025,-33.998453,Crossroads,DR.NELSON R. MANDE,PUBLIC,44.6,20,25,23,47,100,0,0,0,48,36,-37414.324676,-3763563.782310
10,102007105,18.506927,-33.939781,Pinelands,CANONS,INDEPENDENT,100.0,41,2,21,24,6,7,2,85,79,95,-45584.776324,-3757091.353590
111,105483400,18.548920,-33.962930,Heideveld,CATHKIN,PUBLIC,80.4,27,14,23,45,3,96,0,1,47,63,-41691.186128,-3759641.246110
66,105315613,18.510219,-33.940983,Rondebosch,VISTA NOVA,PUBLIC,100.0,41,2,21,24,6,7,2,85,79,95,-45279.749697,-3757223.261780
241,106313939,18.613007,-34.009158,Philippi East,PHAKAMA,PUBLIC,61.9,21,33,16,42,95,5,0,0,33,13,-35748.530941,-3764744.797100
26,106493554,18.588973,-33.987014,Crossroads,NEW EISLEBEN,PUBLIC,52.3,19,28,22,51,100,0,0,0,35,38,-37978.570090,-3762297.178520
102,102310278,18.507223,-33.936965,Pinelands,PINELANDS,PUBLIC,100.0,41,2,21,24,6,7,2,85,79,95,-45558.910655,-3756778.863450
98,102042218,18.533866,-33.947997,Langa SP,KULANI,PUBLIC,35.6,27,25,20,46,100,0,0,0,37,32,-43090.094523,-3757991.055180
11,105483451,18.560311,-33.962744,Heideveld,HEIDEVELD,PUBLIC,83.2,27,14,23,45,3,96,0,1,47,63,-40638.450513,-3759616.042280
99,102042103,18.529842,-33.944488,Langa SP,LANGA,PUBLIC,56.0,27,25,20,46,100,0,0,0,37,32,-43463.865579,-3757603.524310
100,103323829,18.483169,-33.920352,Maitland,MAITLAND,PUBLIC,73.1,39,10,21,29,14,72,3,11,52,71,-47792.085432,-3754947.041780
101,103303206,18.504340,-33.924714,Ndabeni,OUDE MOLEN,PUBLIC,83.0,38,13,21,25,0,17,0,83,0,33,-45832.018507,-3755421.232880
255,106008233,18.661833,-34.050547,Village 1 South,OF SCIENCE AND TEC,PUBLIC,100.0,33,19,18,37,100,0,0,0,87,49,-31223.006605,-3769319.875820
242,106008035,18.623930,-34.006110,Philippi East,LOWER CROSSROADS,PUBLIC,46.5,21,33,16,42,95,5,0,0,33,13,-34740.752972,-3764402.944310
96,102042104,18.540082,-33.946123,Langa SP,ISILIMELA,PUBLIC,61.9,27,25,20,46,100,0,0,0,37,32,-42516.405668,-3757780.592590
89,102483508,18.559985,-33.956029,Bonteheuwel,MODDERDAM,PUBLIC,47.0,26,16,23,43,1,99,0,0,61,60,-40671.776835,-3758871.324280
136,102483605,18.634394,-34.015092,Tembani,ZOLA,PUBLIC,68.0,30,20,20,38,99,0,0,0,88,46,-33770.544047,-3765395.759360
138,106323128,18.672963,-34.055577,Harare/Holimisa,KWAMFUNDO,PUBLIC,42.6,23,26,19,38,100,0,0,0,66,35,-30193.614094,-3769874.459120
95,102041321,18.540190,-33.943548,Langa SP,IKAMVALETHU,PUBLIC,40.6,27,25,20,46,100,0,0,0,37,32,-42507.701677,-3757494.921770
88,102483389,18.547322,-33.947876,Bonteheuwel,BONTEHEUWEL,PUBLIC,74.6,26,16,23,43,1,99,0,0,61,60,-41846.251864,-3757972.063640
94,103000809,18.493769,-33.920322,Maitland,HOLY CROSS,INDEPENDENT,96.8,39,10,21,29,14,72,3,11,52,71,-46811.895211,-3754938.830460
139,106041101,18.661828,-34.041003,Village 1 North,LUHLAZA,PUBLIC,44.1,25,22,23,54,100,0,0,0,70,54,-31226.997063,-3768261.194960
17,106373435,18.663809,-34.036156,Village 1 South,MANYANO,PUBLIC,44.9,25,22,23,54,100,0,0,0,70,54,-31045.803359,-3767722.902990
85,102483338,18.556688,-33.947579,Bonteheuwel,ARCADIA,PUBLIC,56.5,26,16,23,43,1,99,0,0,61,60,-40980.580112,-3757935.339010
133,106041220,18.657692,-34.032427,Village 1 North,JOE SLOVO,PUBLIC,75.5,25,22,23,54,100,0,0,0,70,54,-31612.100525,-3767311.182090
132,106041318,18.641669,-34.013115,Ikwezi Park,INTLANGANISO,PUBLIC,72.5,21,29,19,43,100,0,0,0,32,27,-33099.325769,-3765174.088780
143,102323934,18.685001,-34.058829,Town 3,ESANGWENI,PUBLIC,38.1,27,30,11,42,97,3,0,0,56,8,-29081.093651,-3770231.696980
135,103323926,18.658500,-34.025800,Victoria Mxenge 1,USASAZO,PUBLIC,46.5,22,29,18,47,100,0,0,0,56,24,-31539.933396,-3766575.841820
9,105008025,18.518108,-33.922769,Tokai,LEAP,INDEPENDENT,97.1,41,2,21,24,6,7,2,85,79,95,-44559.938826,-3755199.427220
87,102483354,18.574499,-33.956130,Valhalla Park,BEAUVALLON,PUBLIC,43.6,21,20,24,53,2,96,3,0,37,47,-39330.152565,-3758876.867510
146,106041339,18.681200,-34.049120,Mandela Park,UXOLO,PUBLIC,64.0,27,19,22,42,99,1,0,0,86,54,-29435.363564,-3769155.822790
137,106041121,18.672728,-34.038813,Village 2 North,BULUMKO,PUBLIC,41.5,25,22,24,52,100,0,0,0,53,56,-30221.257331,-3768014.999910
93,103310208,18.483522,-33.905507,Brooklyn,BUREN,PUBLIC,75.8,37,7,22,32,8,33,1,58,53,71,-47767.724451,-3753300.232560
140,106041105,18.667271,-34.029642,Village 2 North,MASIYILE,PUBLIC,34.0,25,22,24,52,100,0,0,0,53,56,-30728.481283,-3766999.343200
145,103313947,18.677005,-34.040799,Griffiths Mxenge,THEMBELIHLE,PUBLIC,58.3,23,23,22,44,100,0,0,0,54,39,-29825.609839,-3768234.039970
20,106323144,18.691981,-34.051736,Mandela Park,SIZIMISELE,PUBLIC,63.0,27,19,22,42,99,1,0,0,86,54,-28439.057766,-3769442.950980
25,103313920,18.633087,-33.992654,Delft South,MASIBAMBISANE,PUBLIC,50.6,18,27,18,44,57,42,0,0,42,29,-33900.184247,-3762907.293740
18,106323993,18.676668,-34.032769,Village 2 North,KHAYELITSHA,PUBLIC,52.1,25,22,24,52,100,0,0,0,53,56,-29859.522805,-3767343.463190
141,106324086,18.676585,-34.032648,Ekuphumleni,KHAYELITSHA,PUBLIC,33.3,25,22,24,52,100,0,0,0,53,56,-29867.249735,-3767330.023240
196,102483370,18.577032,-33.947071,Bishop Lavis,BISHOP LAVIS,PUBLIC,61.8,28,16,23,41,2,98,0,0,67,57,-39100.162197,-3757871.050820
97,103323810,18.506993,-33.908430,Kensington,KENSINGTON,PUBLIC,86.7,38,7,24,29,4,94,2,0,76,86,-45595.374685,-3753613.790560
134,106041102,18.667614,-34.022009,Village 3 North,MATTHEW GONIWE,PUBLIC,86.9,23,28,18,43,100,0,0,0,46,25,-30699.552612,-3766152.560810
169,107007994,18.636420,-33.970690,Delft SP,LEIDEN,PUBLIC,42.2,27,26,9,27,11,89,0,0,12,35,-33600.878036,-3760469.885620
19,103323918,18.695670,-34.051421,T3-V4,HARRY GWALA,PUBLIC,45.2,25,27,16,38,100,0,0,0,64,27,-28098.517076,-3769406.977420
200,102483478,18.586980,-33.949533,Bishop Lavis,JOHN RAMSAY,PUBLIC,76.2,28,16,23,41,2,98,0,0,67,57,-38179.440063,-3758140.395580
103,103323837,18.515978,-33.907154,Windermere,WINDERMERE,PUBLIC,74.6,29,14,21,41,1,99,0,0,72,65,-44765.063278,-3753468.301160
192,102483532,18.568855,-33.932263,The Range,RANGE,PUBLIC,72.1,28,17,22,55,6,93,1,0,73,51,-39862.969712,-3756231.656930
171,107007096,18.641741,-33.985369,Delft South,SIMUNYE,PUBLIC,39.7,18,27,18,44,57,42,0,0,42,29,-33103.436122,-3762096.390640
142,106041332,18.706034,-34.046896,T3-V3,CHRIS HANI,PUBLIC,43.7,25,27,16,38,100,0,0,0,64,27,-27143.097527,-3768902.262970
201,102489220,18.587592,-33.939181,Adriaanse,MARIAN,PUBLIC,94.0,21,22,21,53,3,96,1,0,20,37,-38127.481813,-3756991.898570
144,110007280,18.699750,-34.041910,T3-V5,KHAYELITSHA,PUBLIC,35.4,23,27,17,36,99,1,0,0,57,27,-27724.949797,-3768350.881640
195,102483575,18.563023,-33.920012,Valhalla,VALHALLA,PUBLIC,34.5,35,10,23,28,2,89,8,1,70,70,-40407.975443,-3754875.028450
197,102483419,18.570112,-33.923831,Norwood,ELSIESRIVIER,PUBLIC,85.4,35,10,23,28,2,89,8,1,70,70,-39750.665592,-3755295.872840
